G,Date,Team, ,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%, ,eFG%,TOV%_for,ORB%,FT/FGA_for, ,TOV%_against,DRB%,FT/FGA_against
45,2018-01-18,ORL,@,CLE,L,103,104,102.9,103.9,100.1,.239,.250,.530,47.7,61.0,12.0,11.8,,.494,12.6,22.0,.182,,17.1,70.2,.212
46,2018-01-21,ORL,@,BOS,W,103,95,110.9,102.3,92.9,.174,.228,.520,50.0,46.5,7.5,15.5,,.500,9.2,28.3,.120,,14.1,73.8,.153
47,2018-01-23,ORL,,SAC,L,99,105,105.2,111.5,94.1,.229,.373,.542,47.6,63.9,9.6,6.6,,.500,15.7,25.0,.193,,13.1,72.5,.126
48,2018-01-27,ORL,@,IND,L,112,114,121.0,123.2,92.6,.416,.325,.615,51.3,50.0,6.5,10.1,,.597,13.3,31.0,.260,,8.6,75.0,.172
49,2018-01-30,ORL,@,HOU,L,107,114,119.0,126.8,89.9,.120,.373,.612,45.2,61.9,6.7,9.5,,.596,10.3,17.9,.096,,11.8,76.5,.299
50,2018-01-31,ORL,,LAL,W,127,105,126.4,104.5,100.4,.358,.395,.677,44.9,63.6,12.9,6.3,,.654,13.0,11.1,.259,,14.3,73.8,.277
51,2018-02-03,ORL,,WAS,L,98,115,105.6,123.9,92.8,.286,.416,.565,47.9,50.0,12.9,6.8,,.506,18.7,27.8,.260,,13.1,67.6,.188
52,2018-02-05,ORL,@,MIA,W,111,109,112.6,110.6,98.5,.226,.357,.601,42.4,61.0,8.1,7.1,,.565,10.6,12.2,.190,,10.0,66.7,.280
53,2018-02-06,ORL,,CLE,W,116,98,120.1,101.5,96.6,.307,.250,.581,58.1,58.7,7.2,17.0,,.557,10.7,30.8,.205,,13.1,80.9,.167
54,2018-02-08,ORL,,ATL,W,100,98,102.6,100.6,97.4,.262,.345,.534,43.9,55.6,10.3,10.5,,.482,12.2,17.8,.226,,15.2,75.7,.138
55,2018-02-10,ORL,,MIL,L,104,111,111.0,118.5,93.7,.313,.361,.551,50.0,62.2,7.5,5.3,,.494,11.3,23.3,.265,,11.7,79.5,.195
56,2018-02-12,ORL,@,CHI,L,101,105,108.3,112.6,93.2,.226,.369,.547,45.9,64.9,8.6,12.5,,.500,8.9,16.7,.202,,10.2,74.4,.182
57,2018-02-14,ORL,,CHO,L,102,104,101.6,103.6,100.4,.198,.430,.546,51.6,58.3,7.0,0.0,,.506,17.6,19.6,.174,,11.1,83.0,.170
58,2018-02-22,ORL,,NYK,L,113,120,114.6,121.7,98.6,.277,.289,.607,45.3,65.1,7.1,6.8,,.584,12.3,13.9,.193,,6.9,68.0,.172
59,2018-02-24,ORL,@,PHI,L,105,116,109.5,121.0,95.9,.224,.365,.562,42.3,71.1,7.3,9.3,,.524,10.5,14.3,.188,,13.1,75.0,.284
60,2018-02-26,ORL,@,OKC,L,105,112,105.6,112.7,99.4,.250,.345,.563,41.2,59.0,15.1,9.5,,.536,14.6,18.2,.179,,17.1,65.9,.193
61,2018-02-28,ORL,,TOR,L,104,117,107.6,121.1,96.6,.280,.366,.564,50.0,69.2,8.3,3.8,,.555,12.4,18.6,.159,,11.4,82.9,.181
62,2018-03-02,ORL,,DET,W,115,106,113.6,104.7,91.7,.221,.419,.609,51.1,77.3,7.9,4.8,,.587,14.5,18.9,.163,,12.0,74.5,.152
63,2018-03-03,ORL,,MEM,W,107,100,111.6,104.3,95.9,.458,.347,.618,48.9,52.8,4.2,12.7,,.556,13.9,13.2,.375,,7.9,75.0,.194
64,2018-03-05,ORL,@,UTA,L,80,94,86.2,101.2,92.9,.165,.400,.439,42.9,62.1,7.5,9.5,,.406,13.3,12.5,.129,,15.6,83.3,.164
65,2018-03-07,ORL,@,LAL,L,107,108,108.4,109.4,98.7,.226,.333,.579,52.4,73.8,5.1,7.3,,.571,14.8,20.0,.131,,13.0,83.3,.125
66,2018-03-09,ORL,@,SAC,L,88,94,96.6,103.2,91.1,.205,.372,.517,40.5,51.5,7.7,6.9,,.481,14.1,11.9,.167,,15.2,69.0,.157
67,2018-03-10,ORL,@,LAC,L,105,113,109.1,117.4,96.3,.321,.286,.548,44.6,52.6,12.5,3.3,,.500,12.7,21.4,.250,,14.2,75.0,.308
68,2018-03-13,ORL,@,SAS,L,72,108,76.8,115.2,93.7,.110,.280,.419,46.1,57.1,5.3,4.6,,.384,18.9,19.6,.110,,11.3,74.4,.226
69,2018-03-14,ORL,,MIL,W,126,117,123.2,114.4,102.3,.264,.391,.649,53.2,70.5,9.8,5.4,,.609,14.9,24.3,.230,,9.6,78.6,.092
70,2018-03-16,ORL,,BOS,L,83,92,86.8,96.3,95.6,.126,.322,.452,42.1,41.2,12.6,12.5,,.420,14.0,15.2,.115,,16.0,67.3,.256
71,2018-03-20,ORL,,TOR,L,86,93,92.2,99.7,93.3,.056,.278,.466,50.0,59.5,13.9,17.1,,.461,11.5,20.4,.033,,16.8,85.4,.117
72,2018-03-22,ORL,,PHI,L,98,118,96.1,115.7,102.0,.242,.363,.487,41.7,70.3,9.8,5.8,,.462,9.0,13.5,.154,,13.8,75.0,.213
73,2018-03-24,ORL,,PHO,W,105,99,104.9,98.9,100.1,.321,.357,.548,56.8,78.4,9.0,13.3,,.506,16.5,31.1,.238,,12.2,80.0,.225
74,2018-03-28,ORL,,BRK,L,104,111,111.9,119.4,92.9,.174,.337,.525,47.8,62.5,4.3,7.5,,.495,8.3,22.9,.141,,7.6,75.0,.218
75,2018-03-30,ORL,,CHI,L,82,90,84.5,92.8,97.0,.149,.415,.409,50.9,51.6,11.3,11.6,,.367,10.7,22.2,.138,,14.5,79.6,.190
76,2018-04-01,ORL,@,ATL,L,88,94,94.6,101.0,93.0,.135,.375,.433,44.1,57.6,8.6,12.2,,.396,4.7,19.0,.125,,14.1,85.7,.012
77,2018-04-03,ORL,@,NYK,W,97,73,104.1,78.3,93.2,.205,.409,.506,55.8,75.7,7.5,8.5,,.483,10.3,23.9,.136,,10.8,85.7,.105
78,2018-04-04,ORL,,DAL,W,105,100,110.5,105.2,95.0,.314,.337,.536,52.2,69.2,4.2,16.9,,.500,11.7,27.3,.221,,10.2,76.1,.135
79,2018-04-06,ORL,,CHO,L,100,137,105.9,145.0,94.5,.138,.245,.501,41.9,64.3,2.1,5.5,,.495,7.4,22.6,.074,,8.5,72.7,.279
80,2018-04-08,ORL,@,TOR,L,101,112,102.0,113.1,99.0,.191,.258,.523,47.2,59.5,12.1,10.5,,.511,9.4,12.8,.112,,16.1,85.7,.218
81,2018-04-09,ORL,@,MIL,L,86,102,84.1,99.7,102.3,.244,.293,.474,43.4,70.6,7.8,6.2,,.445,17.3,10.2,.159,,13.9,76.0,.165
82,2018-04-11,ORL,,WAS,W,101,92,105.2,95.8,96.0,.351,.416,.568,45.7,60.6,6.2,11.5,,.513,15.3,15.8,.286,,10.1,66.7,.168
